2020-01-23	2
2020-01-24	2
2020-01-25	5
2020-01-26	8
2020-01-27	8
2020-01-28	8
2020-01-29	10
2020-01-30	12
2020-01-31	13
2020-02-01	14
2020-02-02	15
2020-02-03	15
2020-02-04	18
2020-02-05	21
2020-02-06	24
2020-02-07	26
2020-02-08	26
2020-02-09	36
2020-02-10	42
2020-02-11	49
2020-02-12	50
2020-02-13	53
2020-02-14	56
2020-02-15	56
2020-02-16	57
2020-02-17	60
2020-02-18	62
2020-02-19	65
2020-02-20	68
2020-02-21	68
2020-02-22	69
2020-02-23	74
2020-02-24	81
2020-02-25	85
2020-02-26	91
2020-02-27	93
2020-02-28	94
2020-02-29	95
2020-03-01	98
2020-03-02	100
2020-03-03	100
2020-03-04	104
2020-03-05	104
2020-03-06	107
2020-03-07	109
2020-03-08	114
2020-03-09	115
2020-03-10	120
2020-03-11	129
2020-03-12	131
2020-03-13	137
2020-03-14	141
2020-03-15	148
2020-03-16	157
2020-03-17	167
2020-03-18	192
